,Unnamed: 0,id,name,price,mrp,variant,image_url,tags
10,10,NDFFZCQWZAEZRGYA, Farmley Premium California Almonds, 1.0, 149.0, 100 g, https://rukminim1.flixcart.com/image/280/280/kjvrdzk0/nut-dry-fruit/c/z/n/100-premium-california-pouch-farmley-original-imafzcqwnmnzr3xp.jpeg,farmley premium california almond 1.0 149.0 100 g
11,11,ASLE8PZZD6CSETXF, NIVEA Sensitive Cooling After Shave Lotion, 242.0, 269.0, 100 ml, https://rukminim1.flixcart.com/image/280/280/k6s82vk0/aftershave-lotion/t/x/f/100-sensitive-cooling-after-shave-lotion-nivea-men-original-imafp5s6jrcgjts2.jpeg,nivea sensit cool after shave lotion 242.0 269.0 100 ml
12,12,EDOEUHJMAUZG6ZVT, Fortune Refined Soyabean Oil Pouch, 175.0, 200.0, 1 L, https://rukminim1.flixcart.com/image/280/280/k7usyvk0/edible-oil/z/v/t/1-refined-pouch-soyabean-oil-fortune-original-imafpzwh4nghmzxq.jpeg,fortun refin soyabean oil pouch 175.0 200.0 1 l
13,13,CKBEUHBPBKGMEFS8, BRITANNIA Premium Sooji Rusk, 36.0, 40.0, 273 g, https://rukminim1.flixcart.com/image/280/280/k8j3gcw0/rusk/f/s/8/273-premium-sooji-rusk-britannia-original-imafqgw94jy2jqnx.jpeg,britannia premium sooji rusk 36.0 40.0 273 g
14,14,WBRFJ555XAZ3T8FY, Ghadi Detergent Bar, 40.0, 40.0, 5x160 g, https://rukminim1.flixcart.com/image/280/280/jz30nm80/washing-bar/8/f/y/detergent-cake-800-ghadi-original-imafj68mf4x32rr4.jpeg,ghadi deterg bar 40.0 40.0 5x160 g
15,15,ASLE4M5ZZFKXVZQ8, NIVEA Men Sensitive After Shave Lotion, 224.0, 249.0, 100 ml, https://rukminim1.flixcart.com/image/280/280/jtbtt3k0/aftershave-lotion/z/q/8/100-men-sensitive-after-shave-lotion-nivea-original-imafeph7s7fxxtjz.jpeg,nivea men sensit after shave lotion 224.0 249.0 100 ml
16,16,HWSEUC75YJGVJFEF, DETTOL Original Liquid Hand Wash Refill Pouch, 103.0, 109.0, 0.75 L, https://rukminim1.flixcart.com/image/280/280/jzn0tjk0/hand-wash-sanitizer/k/d/r/2250-original-liquid-hand-wash-refill-pouch-dettol-original-imafjhxuytp4cmek.jpeg,dettol origin liquid hand wash refil pouch 103.0 109.0 0.75 l
17,17,DWBEU6M6QFC68UHQ, Vim Dishwash Bar, 40.0, 40.0, 3x200 g, https://rukminim1.flixcart.com/image/280/280/joen7gw0/dish-washing-bar/u/h/q/na-3-600-vim-original-imafavhfguzm8yvg.jpeg,vim dishwash bar 40.0 40.0 3x200 g
18,18,TEAETM5TCX2WXST8, Tata Teaveda Ayurvedic Goodness Brahmi, Tulsi Tea Box, 96.0, 126.0, 442.0,tata teaveda ayurved good brahmi tulsi tea box 96.0 126.0
19,19,CNDD9FZ3FU4XYHZW, DOVE Daily Shine Conditioner, 161.0, 190.0, 180 ml, https://rukminim1.flixcart.com/image/280/280/j9pyaa80/conditioner/h/z/w/180-daily-shine-conditioner-dove-original-imaezgj7djfpqjbz.jpeg,dove daili shine condition 161.0 190.0 180 ml
20,20,NDFGYV7ZGQ5H7GAD, Farmley (Kaju) W450 Cashews, 149.0, 149.0, 80 g, https://rukminim1.flixcart.com/image/280/280/kmccosw0/nut-dry-fruit/q/8/q/80-kaju-w450-pouch-farmley-original-imagf9emjt2sqjrw.jpeg,farmley (kaju) w450 cashew 149.0 149.0 80 g
21,21,LDTFGPRJYC3AZNA8, Ghadi Detergent Powder 3 kg, 151.0, 168.0, 3 kg, https://rukminim1.flixcart.com/image/280/280/k6b2snk0/laundry-detergent/n/a/8/detergent-powder-ghadi-original-imafzst8pwzshqfa.jpeg,ghadi deterg powder 3 kg 151.0 168.0 3 kg
22,22,DWBEUHHT3F7YRMAZ, Rin Detergent Bar, 64.0, 64.0, 4x250 g, https://rukminim1.flixcart.com/image/280/280/kflftzk0hlty2aw-0/laundry-washing-bar/p/v/w/easy-wash-rin-original-imafw39fsunprfwe.jpeg,rin deterg bar 64.0 64.0 4x250 g
23,23,LDTET5UDMYQJWZ3K, Ariel Matic Top Load Detergent Powder 2 kg, 300.0, 449.0, 2 kg, https://rukminim1.flixcart.com/image/280/280/kiyw9e80-0/washing-powder/1/p/s/matic-top-load-ariel-original-imafyn7wjfswrfpp.jpeg,ariel matic top load deterg powder 2 kg 300.0 449.0 2 kg
